INDEX,NAME,TYPE,MAC,SN,STREAM,IPMODE,IP,SUBNET,GW,MODE,SWVER,WEBVER,AUDIOSTREAM,AUDIOENABLE,RESOLUTION,2NDSTREAM,EXTREMEQUALITY,RS232BAUD,HDMIAUDIOENABLE,LASTFRAMEHOLD,DVIOFFSTREAMLOSS,EDID,WP_STREAM_WIN0,WP_STREAM_WIN1,WP_STREAM_WIN2,WP_STREAM_WIN3,WP_STREAM_WIN4,WP_STREAM_WIN5,WP_STREAM_WIN6,WP_STREAM_WIN7,WP_STREAM_WIN8,UNSOLICITEDIPADDR,DISCOVERYINTERVALSEC,ENABLEDISCOVERYPACKETS,MEDIAPORT0,MEDIAPORT1,PORTSHUTDOWN1,GRATARP,GRATARPINT,UNSOLSTATUS,UNSOLSTATUSINT,USERMCMODE,USERMCIP,IRCOMMANDHOLDOFF,IRREPEATHOLDOFF,USBENABLE,FORCEHTTPS,SETTINGSLOCK,STREAMAUDIO,MUTE,PLAYMODE,YCBCROUTPUT,GEN1COMPATIBILITY,SIMPLIFIEDDVI,LIVEAUDIOLOCALPLAY,BYPASSSCALER,LINEOUTVOLLEFT,LINEOUTVOLRIGHT,NEGATIVEVSYNC,NEGATIVEHSYNC,IGMPJOINSENABLE,IGMPJOINSINTERVAL,AUTOSYNCCONTROL,AUTOSYNCMAXADJUSTRATE,MAINTAINASPECTRATIO,LINEINGAINLEFT,LINEINGAINRIGHT,AUDIODELAY,PKTTTL,PKTDSCP,IMAGEQUALITY,MOTIONQUALITY,AUDIOINPUTTYPE,TXSAMPLERATE,TXEXTRAHOFFSET,TXEXTRAVOFFSET,SWAPCBCR,COLORSPACECOR,USEHPFORNONSUPMODE,UNCOMPRESSEDMODE,REDBRIGHTNESS,GREENBRIGHTNESS,BLUEBRIGHTNESS,SOGWINDOW,YCBCROUTPUTPASSTHRU,SIMPLEDVIDETECTPASSTHRU,HDMIAUDIOPASSTHRU,NEGATIVESYNCSPASSTHRU,ADCLEFTGAIN,ADCRIGHTGAIN,GEN1OUTPUTMODE,N2121COMPATIBILITY,ENCRYPTEDAUDIO,RELAXEDANALOGINPUTTIMING,MPCENABLE,VIDEOSOURCE,NTPSERVER1,NTPSERVER2,NTPSERVER3,MANUALDNS,DNSSERVER1,DNSSERVER2,SENDSCHEDULE,SENDSTARTTIME,SENDENDTIME,SENDUSERNAME,SENDPORT,SENDVALIDATE,SENDMETHOD,SENDAUTODELETE,SENDCONVERTMP4,SENDDESTADDR,RECORDBASENAME,SENDPATH,UNICASTMODE,UNICASTDESTIPADDR,AUDIOBITRATE,XPORTPORT,STREAMURL,RTSPPORT,RTCPPORT,VIDDETECTMODE,STREAMPCMAUDIO,GOPWIDTH,XPORTSTREAM,RTPENCAP,ENCODERMODE,FORCEMULTICAST,HTTPFILEDURSEC,STREAM_U,STREAM_C,P0_COMPRESSED,P1_COMPRESSED,P1_UNCOMPRESSED,HOMEPAGE,BRIGHTNESS,SLEEPDELAY,ENABLEWIRELESSAP,ENABLEBLUETOOTH,TXNAME,RXNAME,MASTERVOLLEFT,MASTERVOLRIGHT,HEADPHONEVOLLEFT,HEADPHONEVOLRIGHT,TXINPUTBALANCED,RELAY1CLOSED,RELAY2CLOSED,RELAYINTERLOCK,PHANTOMPOWER,UNSOLICITEDSTATUSINTERVAL,AUDIODELAYRX,CAPTURESAMPLERATE,UNICASTDESTIPADDR2,RXUNICASTMODE,DVRMODE,STREAM1A,STREAM2A,STREAM3A,STREAM4A,STREAM5A,STREAM6A,STREAM7A,STREAM8A,STREAM9A,MPEGMODE,GEN1STATPACKET,APPENDDESC,PREPENDTIMESTAMP,PREPENDSTREAM,ONLYNTP,VIDRTCPPORT,SUPPORTBFRAMES,DECODERMODE,DISABLECLOCKSYNC
0,AV100-01,N23-DEC,00:19:0B:85:4B:C1,N2322A10009651,28,Static IP,10.40.242.115,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AV100-02,N23-DEC,00:19:0B:85:4B:C0,N2322A10009650,27,Static IP,10.40.242.114,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AV100-03,N23-DEC,00:19:0B:85:4B:BD,N2322A10009647,26,Static IP,10.40.242.112,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,0,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AV100-04,N23-DEC,00:19:0B:85:4B:CB,N2322A10009661,27,Static IP,10.40.242.121,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AV100-05,N23-DEC,00:19:0B:85:4B:C7,N2322A10009657,28,Static IP,10.40.242.120,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AV100-06,N23-DEC,00:19:0B:85:4A:73,N2322A10009317,27,Static IP,10.40.242.151,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AV100-07,N23-DEC,00:19:0B:85:4A:6E,N2322A10009312,28,Static IP,10.40.242.148,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AV100-09,N23-DEC,00:19:0B:85:4A:74,N2322A10009318,12,Static IP,10.40.242.152,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AV100-10,N23-DEC,00:19:0B:85:4A:78,N2322A10009322,11,Static IP,10.40.242.154,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AV100-11,N23-DEC,00:19:0B:85:4B:BC,N2322A10009646,20,Static IP,10.40.242.134,255.255.255.0,10.40.242.1,Live Play,6/5/2018,6/5/2018,28,0,,,,9600,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
